Date,News 1,News 2,News 3,News 4,News 5,News 6,News 7,News 8,News 9,News 10,Sentime score
2025-06-16,Vanguard BlackRock Map Out Global ETF Ambitions,IWM Assets Surged $787M Friday Amid Israel-Iran Conflict,Will The Israel-Iran Conflict Reshuffle The Fed's Policy Playbook?,Consumer Sentiment Rebounds In June,Global Leading Indicators May 2025 - Stabilising?,NCV: A Fully Covered 12% Yield That Is Hard To Ignore,Palantir Hits New Peak AMD Rallies To 6-Month Highs: What's Driving Markets On Monday?,From Sell America To Buy America Back? What's Next,JPM Launches New Active Global Government Bond ETF in Europe,The Iran-Israel Conflict And The Likely Impact On The Market,0.04670803844928741
2025-06-17,Noses Held On Whiff Of War,Stock market today: Dow S&P 500 Nasdaq slide as Trump calls for 'unconditional surrender' from Iran,Exchange-Traded Funds US Equities Lower After Midday,Calling On U.S. Oil In Turbulent Times,Asia's Capital Comes Home,Apple Facing Tough Pricing Decisions,Strait Of Hormuz: Main Focus Of Investors In Iran-Israel Conflict,3 Major Drags On The Economy,Why Smart Money Is Spreading Out: ETF Flows Signal Surge In Portfolio Diversification,Exchange-Traded Funds Equity Futures Lower Pre-Bell Tuesday Amid Escalating Iran-Israel Conflict,-0.35434235334396363
2025-06-18,Fed Policymakers: Split Decision,Fed Keeps Rates in Line Lowers GDP Projections,Markets Play Dead Fish,Fed's Interest Rate Decision: June 18 2025,The Stock Market Doesn't Care About The Israel-Iran War (Unless This One Thing Happens),June 2025 FOMC: What You Need To Know,Exchange-Traded Funds US Equities Rise After Midday,Fed Still Leans In The Direction Of Cuts But Timing Will Be Delayed,Wall Street Rises Ahead Of Fed Payment Stocks Fall On Stablecoin Bill: What's Driving Markets Wednesday?,Exchange-Traded Funds Equity Futures Higher Pre-Bell Wednesday Ahead of Fed Announcement Amid Geopolitical Tensions,0.03088577389717102
2025-06-20,3 Charts I Am Thinking About,Stocks Settle Mostly Lower as Chip Makers Fall,Stock market today: S&P 500 Nasdaq fall amid Fed rate uncertainty as Trump mulls Iran move,Stock market today: S&P 500 Nasdaq fall with focus on Trump Iran decision Fed rate cuts China chip tensions,Exchange-Traded Funds Decline US Equities Mixed After Midday Friday,4 Reasons The Stock Market And The Economy Could Get Ugly Fast,RDVY: Outperforms Peers Despite Lower Dividend Yield,Stocks Erase Early Gains on Weakness in Chip Makers,Fed Rate Cuts To Come 'As Early As July'? Dovish Turn Sparks ETF Rebound Hopes,S&P 500 Extends Retreat From Highs Bitcoin Falls Below $103000: What's Driving Markets Friday?,-0.44646126925945284
2025-06-23,Markets Gain on Muted Response from Iran,Stocks Rally on Hopes of De-Escalation of Hostilities in the Middle East,Iran Blinks Oil Sinks Stocks Wink,Autodesk Arup Partner to Tackle Built Environment’s Carbon Footprint with AI-Powered Solutions,Booking Holdings Etraveli Group Extend Partnership for 8 Years to Enhance Global Flight Offerings,Stock market today: Dow S&P 500 Nasdaq jump oil slides on Iran's restrained response to US strikes,Amazon to Invest $233 Million in India Operations for 2025 for Infrastructure E-commerce Growth,Oil prices are now the stock market's biggest driver,Stocks Climb on Strong US Economic Reports and Dovish Fed Comments,Stocks See Support on Speculation Iran's Retaliation Will Be Limited,0.039677569270133974
2025-06-24,Markets Approach New Highs on Cooling Tensions,Stocks Soar as Middle East Tensions Ease and Bond Yields Fall,Fed Put And Call: Scenario Analysis As Uncertainty Breaks,Exchange-Traded Funds US Equities Trend Higher After Midday,Home Price Increases Cool Fed Chair on Capitol Hill Today,The Dollar Is At A Critical Juncture As Major Currencies Eye Breakouts,Stocks Supported as Tensions Ease in the Middle East,Stocks Rally on a Tentative Ceasefire in the Israel-Iran War,What History Reveals About U.S. Debt Downgrades,The Geopolitical Climate And Risk Of Market Disruption,0.2911684364080429
2025-06-25,NVDA Hits New High as Analyst Sets Lofty Price Target,Assets Move to Industrials Away From Energy as Flows Shift,Watch These QQQ Price Levels as Nasdaq 100 ETF Hits Another Record High,The Yield Plateau No One Saw Coming,Exchange-Traded Funds Lower US Equities Mixed After Midday,Nasdaq Index Extends Weekly Gain To 2.6% As Tech Momentum Defies Powell Stance,Stocks See Support as Reduced Middle East Tensions Sparks Risk-on,5 Stocks Driving Nasdaq 100 ETF Higher in 2025,Stocks See Support Ahead of Fed Chair Powell Testimony,Tracking Strong Dividend Increase Trends Amid Macro Uncertainty,0.5181296169757843
2025-06-26,VOO Hits Record High Joins QQQ in Full Recovery,New Fed Chair Auditions Start Early,Nasdaq 100 Index Rallies to Record High on Speculation of Earlier Interest Rate Cuts,Stock market today: Stock rally leaves S&P 500 Nasdaq within inches of records Dow gains 400 points,Zacks Profit Secrets: Low-Risk Strategy Produces 127% Average Return,Exchange-Traded Funds US Equities Rise After Midday,QQQ And QQQM: 3 Reasons To Go With QQQM,Stocks Supported by Lower Bond Yields and Speculation of Earlier Rate Cuts,Separating Signal From Noise: Strategies For Equity Growth Investors,Durable Goods Orders Surge 16.4% In May,0.3569981038570404
2025-06-27,Despite Tariffs Inflation Remained Low In May,Detente By Deadline Extension,S&P 500 and Nasdaq Climb to Record Highs on China Trade Optimism,Stock market today: S&P 500 Nasdaq notch record closes brushing off renewed trade tensions,International Revenues,Exchange-Traded Funds US Equities Gain After Midday Friday,Above The Noise: Putting Pessimism In Perspective,PCE Mostly In-Line Pre-Markets Rally Again,S&P 500 and Nasdaq 100 Post Record Highs on Hopes of Trade Deals,Stock Market Today: Dow Jones Rises On U.S-China Trade Deal News; Fed Inflation Data Next (Live Coverage),0.14873387813568115
2025-06-30,Markets Toast A Half Point Gain On Trade Chill,U.S. Fiscal Risk Steady Ahead Of Senate Vote On Massive Spending Bill,Stock market today: S&P 500 Nasdaq jump to fresh records capping stunning second-quarter comeback,A chaotic 6 months for stocks shows investors are still leaning 'bullish' headed into the second half of 2025,QQQE: 3 Reasons Why I Would Avoid This ETF,Exchange-Traded Funds US Equities Rise After Midday,Stocks Soar In June The S&P 500 Hits All-Time Highs Amid AI Enthusiasm,Through 1H 2025 U.S. Economy Threads the Needle,Analyst Calendar: Preparation For 2026 - Weekly Blog # 895,The Real Meaning Of The 'TACO' Trade,0.18691973388195038
